BTX0158233,20,mM,DMSO,,,,,,,,,,BTX0158492,20,mM,DMSO,,,,,,,,,,BTX0158233,20,mM,DMSO,,,,,,,,,
µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12
A,1,50,,,,,,,,,,,A,,,,,,,,,,,1,50,A,,,,,,,,,1,50,,
B,1,50,,,,,,,,,,,B,,,,,,,,,,,,,B,,,,,,,,,,,,
C,5,75,,,,,,,,,,,C,,,,,,,,,,,5,75,C,,,,,,,,,5,75,,
D,5,75,,,,,,,,,,,D,,,,,,,,,,,,,D,,,,,,,,,,,,
E,10,100,,,,,,,,,,,E,,,,,,,,,,,10,100,E,,,,,,,,,10,100,,
F,10,100,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,
G,25,150,,,,,,,,,,,G,,,,,,,,,,,25,150,G,,,,,,,,,25,150,,
H,25,150,,,,,,,,,,,H,,,,,,,,,,,,,H,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX0158224,20,mM,DMSO,,,,,,,,,,BTX0158493,20,mM,DMSO,,,,,,,,,,BTX0158224,20,mM,DMSO,,,,,,,,,
µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,,,,,
B,1,50,,,,,,,,,,,B,,,,,,,,,,,1,50,B,,,,,,,,,1,50,,
C,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,,,,
D,5,75,,,,,,,,,,,D,,,,,,,,,,,5,75,D,,,,,,,,,5,75,,
E,,,,,,,,,,,,,E,,,,,,,,,,,,,E,,,,,,,,,,,,
F,10,100,,,,,,,,,,,F,,,,,,,,,,,10,100,F,,,,,,,,,10,100,,
G,,,,,,,,,,,,,G,,,,,,,,,,,,,G,,,,,,,,,,,,
H,25,150,,,,,,,,,,,H,,,,,,,,,,,25,150,H,,,,,,,,,25,150,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX0158231,20,mM,DMSO,,,,,,,,,,BTX0090188,20,mM,DMSO,,,,,,,,,,BTX0158231,20,mM,DMSO,,,,,,,,,
µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12,µM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,1,50,,,,,,,,,A,1,50,10,,10,,,1,,1,,,A,,,,,,,,,,,1,50
